captcha_type,captcha_text,user_input,success,typing_time,accuracy,ai_result,generation_strategy,p_distort,p_noise,p_rotate
image (adversarial),SX9LA,DDQHK,0,3.08,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),GAC8X,WYD5E,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),X6U86,X6U86,1,5.06,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),XCQ92,XCQ92,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),2LFC2,2LFC2,1,9.97,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),J4FC9,J4FC9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),FRE2G,FRE2G,1,6.09,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),JBCZ2,JBCZ2,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),EW7XJ,EW7XJ,1,5.74,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),AY2RN,AY2RN,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),3TA84,3TA84,1,6.75,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),9LKB9,9LKB9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),T8CQ2,T8CQ2,1,6.88,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),8XKND,8XKND,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),CWZEG,N3WR8,0,4.67,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),38ALL,38ALL,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),D3XQX,D3XQX,1,7.06,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),7BEWR,7BEWR,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),YEFBK,YEFBK,1,4.19,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),U4DR3,U4DR3,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),GL4ZN,E432U,0,7.03,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),LDEPY,LDEPY,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),HUE3W,RAFCW,0,3.11,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),6P32Y,6P32Y,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),JQHFY,JQHFY,1,6.5,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),8W3MA,8W3MA,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),99V59,99V59,1,8.39,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),XJG3X,XJG3X,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),F7BMG,F7BMG,1,8.64,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),2BZ7F,2BZ7F,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),D6ZUL,D6ZUL,1,9.29,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),HDHHP,HDHHP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),HRR6E,HRR6E,1,5.71,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),EZW9G,EZW9G,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),UJDQP,UJDQP,1,5.07,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),F386U,F386U,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),C5R9U,C5R9U,1,8.11,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),ZHLU6,76PB9,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),ZSPN3,HTAZ8,0,6.17,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),EKWCR,EKWCR,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),QUU9Q,3MQW5,0,5.84,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),C6LBP,C6LBP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),VUGXV,VUGXV,1,3.38,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),8X6DM,8X6DM,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),MWYT2,DR8U8,0,4.67,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),GZHMJ,GZHMJ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),BMQS4,BMQS4,1,7.75,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),TKV38,TKV38,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),6CNF8,6CNF8,1,4.93,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),YR5SW,YR5SW,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),X7RPZ,X7RPZ,1,3.44,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),5H8WP,5H8WP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),3RXST,3RXST,1,3.92,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),3FJR9,3FJR9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),K8VFT,YXEHB,0,8.88,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),LEJFT,LEJFT,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),9EQ9T,REQLA,0,5.83,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),Z9LYR,29X3Z,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),7LDRB,7LDRB,1,5.16,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),N4QCB,N4QCB,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),S32GC,S32GC,1,9.7,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),9NRVS,9NRVS,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),ME5MM,ME5MM,1,5.16,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),QTG6Z,QTG6Z,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),K39P6,EK9SL,0,7.19,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),7UNAW,7UNAW,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),TY2EF,TY2EF,1,6.43,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),4KURZ,4KURZ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),AJ84R,AJ84R,1,5.01,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),F7WA2,CZUU5,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),WRYDS,WRYDS,1,4.82,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),UEQYM,UEQYM,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),P7MKS,P7MKS,1,8.37,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),FD2T5,FD2T5,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),JYMTM,JYMTM,1,6.63,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),MRL7D,MRL7D,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),43TY8,43TY8,1,7.92,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),3P7DE,3P7DE,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),KM46V,KM46V,1,5.13,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),ZDEYY,ZDEYY,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),ECY3C,ECY3C,1,3.3,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),D3SBD,D3SBD,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),KADDV,MC588,0,4.29,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),MFSZH,MFSZH,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),42SY8,9DGSY,0,6.76,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),MUQ8F,PSP2L,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),QSRMK,QSRMK,1,5.3,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),DKVK9,DKVK9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),P9P56,AXXNS,0,5.57,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),XDNY9,XDNY9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),9C9LV,9C9LV,1,8.87,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),ZJYUJ,MX89S,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),EQDRH,EQDRH,1,8.16,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),4RAFV,4RAFV,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),VDC22,VDC22,1,7.63,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),RJL5T,6DQ5Q,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),BFX26,BFX26,1,3.94,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),YRDXX,YRDXX,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),RTFBJ,M9LAB,0,7.32,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),4MZA6,4MZA6,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),P9PBH,P9PBH,1,7.15,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),7CKLA,7CKLA,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),XPSPA,XPSPA,1,9.9,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),NNU3D,NNU3D,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),R3XFK,R3XFK,1,7.45,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),9C5GJ,NHZC5,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),DLC3R,DLC3R,1,3.54,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),4SKXL,4SKXL,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),VQ2FA,VQ2FA,1,4.31,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),RX48J,RX48J,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),V2PUW,V2PUW,1,6.24,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),HZ25P,HZ25P,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),5JKFX,5JKFX,1,3.79,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),GH4QT,GH4QT,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),6GJA3,6GJA3,1,4.23,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),58RA5,58RA5,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),KC86X,KC86X,1,8.88,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),4HUSD,4HUSD,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),87J6H,4Z3Z7,0,5.19,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),GDGJP,GDGJP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),TYDTR,7MY4A,0,9.16,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),8V4X8,8V4X8,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),XJNWY,XJNWY,1,9.07,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),5N7N9,5N7N9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),72K5F,72K5F,1,9.16,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),2PB54,2PB54,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),P4Y64,P4Y64,1,6.54,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),MV4ZQ,MV4ZQ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),WFQWA,WFQWA,1,5.2,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),CFS94,CFS94,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),X3LRZ,X3LRZ,1,7.15,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),LKCMN,6H87W,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),W79GY,W79GY,1,7.33,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),VE8FU,VE8FU,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),P7QXD,P7QXD,1,9.62,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),4JZNP,4JZNP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),9KXPP,9KXPP,1,9.83,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),HQHUW,HQHUW,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),ELYXY,ELYXY,1,7.18,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),CTB7R,88VZB,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),JVKNM,JVKNM,1,4.26,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),FRLQC,FRLQC,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),EDBE5,EDBE5,1,9.48,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),K6V2J,K6V2J,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),FZR8T,FZR8T,1,6.08,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),GBFRF,GBFRF,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),97BMY,97BMY,1,3.79,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),ZEMGK,ZEMGK,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),4UXG9,4UXG9,1,7.0,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),PC2X6,PC2X6,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),9DM7D,9DM7D,1,3.57,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),4XQ8V,4XQ8V,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),BVQ89,BVQ89,1,9.04,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),3K3ZT,3K3ZT,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),NF85C,NF85C,1,8.46,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),K2WDR,K2WDR,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),76VMD,76VMD,1,6.43,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),6RUP2,6RUP2,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),PPBLQ,PPBLQ,1,8.0,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),7SWCQ,7SWCQ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),REE64,REE64,1,6.98,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),T7SSP,T7SSP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),UJJCS,UJJCS,1,6.24,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),34BPY,34BPY,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),QXVJ8,QXVJ8,1,3.55,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),9JXPA,9JXPA,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),FRY58,FRY58,1,5.12,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),4VY8X,4VY8X,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),EG4YG,EG4YG,1,7.54,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),WPW3G,WPW3G,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),EPD6Z,5UGU4,0,6.3,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),BAWY9,BAWY9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),VTKRR,VTKRR,1,9.55,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),65HBA,65HBA,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),C6PRR,C6PRR,1,7.88,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),AKGMH,AKGMH,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),X75YQ,X75YQ,1,5.73,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),P8WMR,P8WMR,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),KZXEG,KZXEG,1,8.55,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),8RHT9,8RHT9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),MF46B,MF46B,1,3.8,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),HTR93,HTR93,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),T655V,T655V,1,9.49,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),QQ4DD,QQ4DD,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),5DTSF,FKQSZ,0,9.38,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),DWLE5,2A4RK,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),FJYPW,FJYPW,1,8.27,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),PH3PP,SX8Q2,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),YSCLN,YSCLN,1,5.75,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),B7EU9,B7EU9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),69P6Y,69P6Y,1,5.2,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),M46VE,M46VE,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),GT3WY,GT3WY,1,4.38,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),KBLZZ,KBLZZ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),TGSKL,TGSKL,1,3.2,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),3UH2Z,3UH2Z,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),BMWMB,UALHZ,0,6.14,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),UY8X5,UY8X5,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),K3YXY,K3YXY,1,3.74,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),SG2QE,SG2QE,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),CB6RQ,CB6RQ,1,5.82,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),T25UW,T25UW,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),8ZPFS,8ZPFS,1,3.91,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),Y5DGR,Y5DGR,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),T7D5D,T7D5D,1,3.28,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),EM9KR,EM9KR,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),UB66G,UB66G,1,3.86,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),M5PUU,M5PUU,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),RZV2S,EZCVV,0,7.67,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),N6LBX,N6LBX,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),W5YU3,W5YU3,1,7.52,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (question),WC8T2,WC8T2,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (adversarial),2SAXT,2SAXT,1,4.44,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,0.45,0.45,0.45
image (semantic),44UCT,44UCT,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,0.45,0.45,0.45
