captcha_type,captcha_text,user_input,success,typing_time,accuracy,ai_result,generation_strategy,p_distort,p_noise,p_rotate,Target
image (question),B2JTX,B2JTX,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.71,3,1.0
image (semantic),A4DV5,5O44I,0,7.7,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.88,3,0.0
image (question),USEXU,USEXU,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.86,3,1.0
image (semantic),5IE3L,7HDHJ,0,8.21,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.82,3,0.0
image (question),O5CTZ,O5CTZ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (semantic),Y857N,Y857N,1,9.77,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.84,3,1.0
image (adversarial),V4X7Y,V4X7Y,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.86,3,1.0
image (adversarial),NXZ6Y,6O9JD,0,5.72,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.81,3,0.0
image (question),3IH66,3IH66,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.83,3,1.0
image (semantic),B537Q,33ZSM,0,9.14,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.78,3,0.0
image (question),V30QA,V30QA,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.71,3,1.0
image (adversarial),PXAHK,PXAHK,1,6.61,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (semantic),8314Y,8314Y,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.86,3,1.0
image (adversarial),5EGVL,5EGVL,1,4.27,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (question),585I8,585I8,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.88,3,1.0
image (question),IDQJ4,IDQJ4,1,4.82,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.71,3,1.0
image (semantic),DN8EZ,DN8EZ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.79,3,1.0
image (question),RIH83,4V9KY,0,3.91,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.75,3,0.0
image (adversarial),POFKJ,POFKJ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (question),YQAEL,YQAEL,1,5.68,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.84,3,1.0
image (semantic),PVCUB,978V0,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.89,3,0.0
image (question),BJWKO,BJWKO,1,4.26,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.77,3,1.0
image (semantic),GRMQD,GRMQD,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.84,3,1.0
image (semantic),EBE54,EBE54,1,9.14,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (semantic),W1JL6,W1JL6,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (adversarial),F4X2B,F4X2B,1,6.29,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.73,3,1.0
image (question),FQE6R,FQE6R,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.79,3,1.0
image (semantic),QEZFM,QEZFM,1,4.18,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.74,3,1.0
image (question),SJ6VV,SJ6VV,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.89,3,1.0
image (semantic),G7IRD,OV84F,0,7.76,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.77,3,0.0
image (adversarial),C3XQ8,C3XQ8,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (question),BWQ89,BWQ89,1,9.04,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.88,3,1.0
image (adversarial),2K20T,2K20T,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (semantic),G85D4,G85D4,1,8.27,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.73,3,1.0
image (question),XERP3,XERP3,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (semantic),MDNHQ,13WPP,0,5.96,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.78,3,0.0
image (semantic),BMQIY,BMQIY,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.73,3,1.0
image (adversarial),XDQC2,IPUT7,0,5.1,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.76,3,0.0
image (semantic),SSOQZ,SSOQZ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.86,3,1.0
image (semantic),CSEXG,CSEXG,1,5.91,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.74,3,1.0
image (semantic),ZL01Q,5GG0V,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.86,3,0.0
image (semantic),5DTAE,5DTAE,1,5.84,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.73,3,1.0
image (question),X00K3,X00K3,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (adversarial),YOKEA,ARFI4,0,4.32,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.72,3,0.0
image (adversarial),4TD1F,4TD1F,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.78,3,1.0
image (adversarial),FZ8Q4,FZ8Q4,1,8.81,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (semantic),OMD4P,OMD4P,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.78,3,1.0
image (question),VTKRR,5ICAU,0,9.34,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.82,3,0.0
image (question),TJX6E,TJX6E,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (adversarial),ZAKGM,74ZQ5,0,7.79,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.75,3,0.0
image (semantic),0OP7X,0OP7X,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.77,3,1.0
image (adversarial),4WK0Y,4WK0Y,1,6.45,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.73,3,1.0
image (semantic),27RIU,MF36B,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.9,3,0.0
image (semantic),CPWEI,1U645,0,8.39,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.75,3,0.0
image (adversarial),VDB82,2V4DU,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.89,3,0.0
image (question),SGEHN,SGEHN,1,6.54,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (semantic),0DXME,1A4RK,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.87,3,0.0
image (question),GJZOW,GJZOW,1,4.6,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.75,3,1.0
image (semantic),2OOQ4,P1ZSC,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.86,3,0.0
image (question),MO1PO,MO1PO,1,7.02,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.71,3,1.0
image (question),99259,99259,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.78,3,1.0
image (question),5ZLM3,QHT2X,0,7.9,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.88,3,0.0
image (adversarial),Z52OH,Z52OH,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (question),OZ5ST,1FB2V,0,6.65,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.74,3,0.0
image (semantic),I109D,I109D,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.71,3,1.0
image (adversarial),SE17Q,SE17Q,1,9.88,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.81,3,1.0
image (question),29U6W,29U6W,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.81,3,1.0
image (question),KY3UF,KY3UF,1,5.29,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.78,3,1.0
image (adversarial),U3NDZ,U3NDZ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.87,3,1.0
image (question),PEHCY,JRPP7,0,5.76,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.78,3,0.0
image (adversarial),R93FE,STZQB,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.84,3,0.0
image (semantic),FU7E4,FN9KR,0,3.28,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.72,3,0.0
image (adversarial),2FVB6,2FVB6,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.88,3,1.0
image (semantic),0ATCB,2RZV1,0,9.3,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.8,3,0.0
image (question),SQQQ5,SQQQ5,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.77,3,1.0
image (question),OIOT8,OIOT8,1,3.62,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.88,3,1.0
image (question),FAW1L,FAW1L,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.83,3,1.0
image (semantic),GWUBU,XT8JH,0,3.13,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.74,3,0.0
image (question),34UDT,34UDT,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (semantic),5APO4,5APO4,1,9.86,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (question),TKG1F,TKG1F,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.89,3,1.0
image (semantic),WLACO,76BIV,0,4.81,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.76,3,0.0
image (question),ISS8J,ISS8J,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (question),ROI5J,ROI5J,1,8.34,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.89,3,1.0
image (adversarial),XEUQ4,XEUQ4,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.8,3,1.0
image (adversarial),92TP6,WXGC7,0,9.73,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.79,3,0.0
image (question),JJY94,JJY94,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.74,3,1.0
image (question),FTCDZ,PV8LY,0,4.96,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.87,3,0.0
image (semantic),MJ1QI,MJ1QI,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.9,3,1.0
image (adversarial),8L6E7,O6Z1T,0,7.71,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.82,3,0.0
image (question),2XCB3,2XCB3,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.83,3,1.0
image (adversarial),8NVN4,8NVN4,1,5.59,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.86,3,1.0
image (adversarial),GA01Y,GA01Y,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.84,3,1.0
image (semantic),WKZIR,VA9WD,0,7.93,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.77,3,0.0
image (question),JSGG0,JSGG0,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.83,3,1.0
image (question),CECJU,4A8YW,0,4.92,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.75,3,0.0
image (semantic),Y5APY,Y5APY,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.83,3,1.0
image (question),9JYQN,9JYQN,1,4.95,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (adversarial),PQAHC,IY87H,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.81,3,0.0
image (question),LCWBP,IR833,0,8.88,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.7,3,0.0
image (semantic),SICVP,SICVP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (adversarial),DCBL4,DCBL4,1,8.62,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.71,3,1.0
image (semantic),BVPDC,BVPDC,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.71,3,1.0
image (semantic),WO52W,WM72Q,0,9.16,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.79,3,0.0
image (adversarial),LGDVC,ESMRW,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.86,3,0.0
image (question),GEBEV,51FLM,0,5.18,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.8,3,0.0
image (question),NAVYC,NAVYC,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.8,3,1.0
image (question),PHH62,PHH62,1,7.84,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.77,3,1.0
image (semantic),QY4UM,QY4UM,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (adversarial),Q2BHA,Q2BHA,1,4.49,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.74,3,1.0
image (adversarial),R133N,R133N,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.78,3,1.0
image (semantic),CBEKG,CBEKG,1,3.21,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (adversarial),HG5ZM,HG5ZM,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.81,3,1.0
image (adversarial),GJD3E,GJD3E,1,4.47,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.83,3,1.0
image (question),QNNGS,5CF72,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.86,3,0.0
image (adversarial),GNNV9,4KFIW,0,7.11,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.75,3,0.0
image (semantic),KESVR,KESVR,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (question),WGN51,WGN51,1,5.25,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.77,3,1.0
image (question),NZZRJ,NZZRJ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.78,3,1.0
image (semantic),H6QIH,NTEDQ,0,9.55,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.79,3,0.0
image (semantic),MVQWP,MVQWP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.79,3,1.0
image (adversarial),RJAPJ,RJAPJ,1,6.51,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (question),TCJIE,TCJIE,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.77,3,1.0
image (question),HLK3Y,4ZTJ1,0,3.97,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.75,3,0.0
image (adversarial),KM983,KM983,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (semantic),S1FOI,S1FOI,1,7.11,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (semantic),TQ3MD,TQ3MD,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.87,3,1.0
image (adversarial),ZHQUN,ZHQUN,1,8.16,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (question),RXMIP,RXMIP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (semantic),LA27F,6UON8,0,8.59,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.89,3,0.0
image (semantic),CNRL8,CNRL8,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.83,3,1.0
image (adversarial),DTBYR,HKSQN,0,5.7,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.74,3,0.0
image (semantic),AL6O9,AL6O9,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.73,3,1.0
image (question),C85EH,ULHZQ,0,4.11,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.79,3,0.0
image (semantic),H9Q3V,5QU0K,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.75,3,0.0
image (adversarial),5QZZK,5QZZK,1,4.26,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (question),WPNXZ,I5JWK,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.72,3,0.0
image (question),6Z0HR,6Z0HR,1,5.58,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.9,3,1.0
image (adversarial),1S2OF,1S2OF,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.74,3,1.0
image (semantic),CZ0N0,CZ0N0,1,4.75,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.87,3,1.0
image (question),ZEYQQ,ZEYQQ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (adversarial),8F34G,8F34G,1,3.87,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.7,3,1.0
image (adversarial),0GYAJ,0GYAJ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.79,3,1.0
image (question),BYHZ4,DYPVB,0,7.62,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.86,3,0.0
image (adversarial),NHI6H,MGYH5,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.7,3,0.0
image (semantic),23GGO,23GGO,1,7.39,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (semantic),W7OPI,W7OPI,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (question),OLOQC,5O1R9,0,3.31,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.86,3,0.0
image (semantic),Z27UJ,ZY9YL,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.72,3,0.0
image (question),W5L4R,S0SZA,0,6.14,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.77,3,0.0
image (adversarial),A1EIP,A1EIP,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.75,3,1.0
image (question),NKFHB,5EL2B,0,6.11,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.88,3,0.0
image (semantic),2O31I,2O31I,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (question),T6XIY,GWCR8,0,6.65,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.84,3,0.0
image (adversarial),B97EG,B97EG,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.81,3,1.0
image (adversarial),C0LZI,C0LZI,1,7.03,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.74,3,1.0
image (semantic),8H5R8,8H5R8,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.77,3,1.0
image (adversarial),PS013,C6KTT,0,5.99,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.86,3,0.0
image (semantic),GNLKU,GNLKU,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.8,3,1.0
image (semantic),QFGAS,QFGAS,1,5.91,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (adversarial),O0NL9,E7F18,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.71,3,0.0
image (adversarial),11MZW,0IB3W,0,9.49,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.77,3,0.0
image (semantic),YZXJQ,YZXJQ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.84,3,1.0
image (semantic),UXFED,UXFED,1,7.1,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.84,3,1.0
image (semantic),6SGP3,6SGP3,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.75,3,1.0
image (adversarial),T5V01,T5V01,1,7.01,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.88,3,1.0
image (adversarial),23JH0,3ACZS,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.84,3,0.0
image (adversarial),X0GNZ,UHH03,0,3.77,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.74,3,0.0
image (question),G95P6,G95P6,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (question),KNJMV,J8X2B,0,3.07,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.8,3,0.0
image (semantic),H2NS8,H2NS8,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.75,3,1.0
image (semantic),MPN69,CMLDQ,0,5.65,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.86,3,0.0
image (semantic),Z05EV,1IQY5,0,0,0.0,FAILURE_MLLM,G2_LLM_ZSA_CG,5,0.87,3,0.0
image (question),SXAW7,SXAW7,1,3.32,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (adversarial),3LPVO,3LPVO,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (semantic),77RXZ,77RXZ,1,4.37,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (adversarial),FSU4S,FSU4S,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.73,3,1.0
image (question),YT5GQ,G7ZD9,0,4.7,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.72,3,0.0
image (question),B7LNK,B7LNK,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.84,3,1.0
image (question),6EET0,6EET0,1,4.57,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (question),U7CM6,U7CM6,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (adversarial),XU43I,XU43I,1,5.38,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.72,3,1.0
image (semantic),VG7UE,VG7UE,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (semantic),ACT49,EXVDA,0,9.54,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.76,3,0.0
image (adversarial),4L3KH,4L3KH,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.84,3,1.0
image (question),FX2ZV,FX2ZV,1,9.98,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (semantic),ZR3RZ,ZR3RZ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.78,3,1.0
image (adversarial),Z47I0,K36FA,0,8.09,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.88,3,0.0
image (question),OPRMO,OPRMO,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.71,3,1.0
image (question),ZH4OE,7KXUP,0,3.38,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.85,3,0.0
image (semantic),R6H2H,R6H2H,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.83,3,1.0
image (adversarial),UY9F8,9GB9X,0,3.67,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.79,3,0.0
image (semantic),V8WOB,V8WOB,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.75,3,1.0
image (adversarial),VG019,XJXNE,0,9.05,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.83,3,0.0
image (question),CRYSA,CRYSA,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.81,3,1.0
image (semantic),YDVN9,C62G3,0,3.7,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.84,3,0.0
image (question),AUT3R,AUT3R,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.8,3,1.0
image (question),3X1HX,QLBUX,0,3.04,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.72,3,0.0
image (question),DJ1DE,DJ1DE,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (semantic),9XIB8,UZS9M,0,6.11,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.88,3,0.0
image (semantic),THD3I,THD3I,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.74,3,1.0
image (semantic),HETVJ,HETVJ,1,4.78,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.85,3,1.0
image (question),N6OCJ,N6OCJ,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.79,3,1.0
image (question),HWJWX,VPF9P,0,8.74,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.84,3,0.0
image (adversarial),AVCED,AVCED,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.81,3,1.0
image (adversarial),D62F2,D62F2,1,9.78,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.75,3,1.0
image (semantic),ND7G0,ND7G0,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.76,3,1.0
image (semantic),MUKJD,M08TV,0,5.73,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.71,3,0.0
image (adversarial),4REAS,4REAS,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.73,3,1.0
image (question),UJ7XN,G92SJ,0,7.95,0.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.86,3,0.0
image (semantic),P753K,P753K,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.87,3,1.0
image (adversarial),LDC08,LDC08,1,5.0,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.73,3,1.0
image (adversarial),73A8Y,73A8Y,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.89,3,1.0
image (question),S95ZO,S95ZO,1,5.97,1.0,HUMAN_AGENT,G2_LLM_ZSA_CG,5,0.82,3,1.0
image (question),TM9X7,TM9X7,1,0,1.0,SUCCESS_MLLM,G2_LLM_ZSA_CG,5,0.9,3,1.0
